дата;вопрос;категория;время_ответа;оценка;дефект
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,4;правильный;
04.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,8;правильный;
04.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,0;правильный;
04.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;12,3;правильный;
04.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,5;вода;Повтор без улучшения
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;15,8;правильный;
04.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,0;правильный;
04.08.2026;Как оплатить налоги через приложение?;Прочее;10,9;правильный;
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,7;правильный;
04.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,9;правильный;
04.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;6,1;правильный;
04.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,1;правильный;
04.08.2026;Что будет за просрочку сдачи 910?;Прочее;4,5;частично верный;Пробел в базе знаний
04.08.2026;Как выставить ЭСФ?;НДС и пороги;5,2;частично верный;Противоречие в ответе
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,9;вода;Вне тематики
04.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,9;правильный;
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,0;частично верный;Нет цифр
04.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,0;вода;Вода / нет прямого ответа
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,3;правильный;
04.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,5;правильный;
04.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,1;правильный;
05.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,0;правильный;
05.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);3,9;правильный;
05.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;11,8;правильный;
05.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,8;правильный;
05.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,7;правильный;
05.08.2026;Что будет за просрочку сдачи 910?;Прочее;5,6;правильный;
05.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,8;вода;Вне тематики
05.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;6,7;вода;Вне тематики
05.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,3;правильный;
05.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,2;правильный;
05.08.2026;Как оплатить налоги через приложение?;Прочее;4,2;правильный;
05.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;3,3;правильный;
05.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,2;частично верный;Нет цифр
05.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,4;правильный;
05.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;6,2;частично верный;Противоречие в ответе
05.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,8;правильный;
05.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;12,3;правильный;
05.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,1;правильный;
05.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;4,3;правильный;
06.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;8,0;частично верный;Противоречие в ответе
06.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,2;правильный;
06.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);3,1;частично верный;Пробел в базе знаний
06.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,5;правильный;
06.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,3;правильный;
06.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,9;правильный;
06.08.2026;Что будет за просрочку сдачи 910?;Прочее;3,8;правильный;
06.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,0;правильный;
06.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,5;правильный;
06.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,1;правильный;
06.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,3;правильный;
06.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,2;правильный;
06.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,6;правильный;
06.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,3;правильный;
06.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,0;правильный;
06.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;9,5;ошибка;Противоречие в ответе
06.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;12,4;правильный;
07.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,6;правильный;
07.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,7;вода;Повтор без улучшения
07.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,3;правильный;
07.08.2026;Как оплатить налоги через приложение?;Прочее;4,1;частично верный;Пробел в базе знаний
07.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,6;правильный;
07.08.2026;Как оплатить налоги через приложение?;Прочее;4,1;частично верный;Противоречие в ответе
07.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);6,4;правильный;
07.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;3,2;правильный;
07.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;4,9;вода;Вне тематики
07.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,8;ошибка;Ошибка в цифрах
07.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,1;правильный;
07.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,9;вода;Вода / нет прямого ответа
07.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,9;правильный;
07.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,2;правильный;
07.08.2026;Что будет за просрочку сдачи 910?;Прочее;4,9;ошибка;Устаревшая ставка (ИПН)
07.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,4;правильный;
07.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;10,6;правильный;
07.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,8;частично верный;Нет цифр
07.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);6,9;правильный;
07.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;8,5;частично верный;Нет цифр
07.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,6;правильный;
07.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;7,0;частично верный;Пробел в базе знаний
07.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,7;правильный;
07.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;3,6;правильный;
07.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,1;правильный;
07.08.2026;Как оплатить налоги через приложение?;Прочее;4,9;частично верный;Противоречие в ответе
07.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;14,2;правильный;
08.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,9;правильный;
08.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;6,4;правильный;
08.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,8;правильный;
08.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,5;правильный;
08.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;11,7;частично верный;Пробел в базе знаний
08.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;7,0;правильный;
08.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;9,8;правильный;
08.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,6;правильный;
08.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,7;правильный;
08.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,4;правильный;
08.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;4,1;правильный;
08.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,7;правильный;
08.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,1;правильный;
08.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,6;правильный;
08.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,5;правильный;
08.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,4;правильный;
08.08.2026;Как выставить ЭСФ?;НДС и пороги;3,4;частично верный;Пробел в базе знаний
08.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,3;правильный;
08.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,1;правильный;
08.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,7;правильный;
08.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,8;правильный;
08.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;6,3;правильный;
09.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,4;ошибка;Устаревшая ставка (ИПН)
09.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;4,3;частично верный;Нет цифр
09.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;13,4;правильный;
09.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,0;правильный;
09.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,7;правильный;
09.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,1;вода;Вне тематики
09.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,6;вода;Повтор без улучшения
09.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,6;правильный;
09.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;13,4;правильный;
09.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,3;ошибка;Ошибка в цифрах
09.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;4,2;правильный;
09.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;12,8;правильный;
09.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,0;правильный;
09.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,3;вода;Повтор без улучшения
09.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,1;ошибка;Устаревшая ставка (ИПН)
09.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,0;частично верный;Пробел в базе знаний
09.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,8;правильный;
09.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,8;правильный;
09.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,0;правильный;
09.08.2026;Как выставить ЭСФ?;НДС и пороги;4,5;правильный;
09.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,5;правильный;
09.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,8;правильный;
09.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;12,2;вода;Вне тематики
09.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;10,0;правильный;
09.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;3,5;частично верный;Пробел в базе знаний
09.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,3;правильный;
09.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;6,0;частично верный;Нет цифр
09.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,5;правильный;
10.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,7;правильный;
10.08.2026;Что будет за просрочку сдачи 910?;Прочее;4,8;вода;Повтор без улучшения
10.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;5,3;правильный;
10.08.2026;Как оплатить налоги через приложение?;Прочее;4,7;частично верный;Нет цифр
10.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;6,0;правильный;
10.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,1;правильный;
10.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,2;правильный;
10.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,1;частично верный;Пробел в базе знаний
10.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,4;правильный;
10.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,6;правильный;
10.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,3;правильный;
10.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;6,0;правильный;
10.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,4;правильный;
10.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,1;правильный;
10.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,4;правильный;
10.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,3;правильный;
10.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,5;вода;Повтор без улучшения
10.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;8,8;правильный;
10.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,3;правильный;
10.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;13,2;правильный;
10.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,3;правильный;
10.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,4;правильный;
11.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,2;правильный;
11.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;6,6;частично верный;Нет цифр
11.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,8;правильный;
11.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;7,0;правильный;
11.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,4;правильный;
11.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,9;правильный;
11.08.2026;Как оплатить налоги через приложение?;Прочее;3,3;правильный;
11.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,5;правильный;
11.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,7;правильный;
11.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;7,0;вода;Вода / нет прямого ответа
11.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,6;правильный;
11.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,5;правильный;
11.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,7;правильный;
11.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,3;правильный;
11.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;5,6;правильный;
11.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,3;правильный;
12.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;5,8;правильный;
12.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,7;правильный;
12.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;4,8;правильный;
12.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,5;правильный;
12.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;14,4;правильный;
12.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,6;правильный;
12.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,5;правильный;
12.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;8,9;правильный;
12.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;3,4;правильный;
12.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,2;правильный;
12.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,9;правильный;
12.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,9;правильный;
12.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;7,0;правильный;
12.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);6,2;правильный;
12.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;3,5;правильный;
12.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);6,0;правильный;
12.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,5;правильный;
12.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;6,4;правильный;
13.08.2026;Как оплатить налоги через приложение?;Прочее;4,1;правильный;
13.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,9;правильный;
13.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;6,0;правильный;
13.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,9;правильный;
13.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,6;правильный;
13.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,9;правильный;
13.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,7;правильный;
13.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;10,9;правильный;
13.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,6;правильный;
13.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,8;ошибка;Устаревшая ставка (ИПН)
13.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;9,5;вода;Повтор без улучшения
13.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,6;частично верный;Противоречие в ответе
13.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,3;правильный;
13.08.2026;Как выставить ЭСФ?;НДС и пороги;4,5;правильный;
13.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,5;правильный;
13.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,4;правильный;
13.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;9,4;правильный;
13.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;13,5;правильный;
13.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;3,8;правильный;
13.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,1;правильный;
13.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;8,3;правильный;
13.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,0;частично верный;Пробел в базе знаний
13.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;5,7;вода;Вода / нет прямого ответа
13.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,9;вода;Повтор без улучшения
13.08.2026;Как оплатить налоги через приложение?;Прочее;4,0;правильный;
13.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,9;правильный;
13.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,9;правильный;
13.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,4;правильный;
14.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,6;правильный;
14.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,6;вода;Вне тематики
14.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,2;правильный;
14.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;6,1;правильный;
14.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,4;правильный;
14.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);7,9;правильный;
14.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;6,9;правильный;
14.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;8,6;ошибка;Противоречие в ответе
14.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,5;частично верный;Нет цифр
14.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;7,0;вода;Повтор без улучшения
14.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,5;правильный;
14.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;7,0;правильный;
14.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,7;правильный;
14.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;7,5;правильный;
14.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;4,7;вода;Повтор без улучшения
14.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,3;правильный;
14.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;4,4;правильный;
14.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,1;вода;Вода / нет прямого ответа
14.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,3;правильный;
14.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,6;вода;Вода / нет прямого ответа
14.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;13,3;вода;Вода / нет прямого ответа
14.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,4;правильный;
14.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,0;правильный;
14.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;4,8;правильный;
14.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,3;правильный;
14.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,6;правильный;
14.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,4;правильный;
15.08.2026;Как оплатить налоги через приложение?;Прочее;10,5;правильный;
15.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;4,3;правильный;
15.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;8,2;правильный;
15.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,6;вода;Вне тематики
15.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;4,7;правильный;
15.08.2026;Как оплатить налоги через приложение?;Прочее;4,7;частично верный;Пробел в базе знаний
15.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,3;правильный;
15.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,6;правильный;
15.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,6;правильный;
15.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);5,8;правильный;
15.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,0;вода;Вода / нет прямого ответа
15.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;7,0;ошибка;Ошибка в цифрах
15.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,5;частично верный;Нет цифр
15.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;11,4;ошибка;Ошибка в цифрах
15.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,0;правильный;
15.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;5,0;правильный;
15.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;12,2;правильный;
15.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;5,1;правильный;
15.08.2026;Что будет за просрочку сдачи 910?;Прочее;5,3;вода;Повтор без улучшения
15.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;4,5;частично верный;Нет цифр
15.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,4;правильный;
16.08.2026;Что будет за просрочку сдачи 910?;Прочее;6,7;правильный;
16.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,3;правильный;
16.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,3;правильный;
16.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,7;правильный;
16.08.2026;Как выставить ЭСФ?;НДС и пороги;4,3;правильный;
